feature	Anaerospora	RBG.13.54.9.Genus	Meiothermus	Deinococcus	KD4.96.Genus	Caldilineaceae.Genus	Lineage.IIb.Genus	SBR1031.Genus	JG30.KF.CM45.Genus	Candidatus.Obscuribacter	Obscuribacteraceae.Genus	Vampirovibrio	Vampirovibrionaceae.Genus	Frankiales.Genus	Nakamurella	Micromonospora	PeM15.Genus	Longivirga	Gordonia	Nocardia	Nocardiaceae.Genus	Smaragdicoccus	Mycobacterium	Rhodococcus	Nocardioides	Marmoricola	Brevibacterium	Kineosporiaceae.Genus	Leucobacter	Glutamicibacter	Kocuria	IMCC26207	Microtrichales.Genus	Iamia	Acidimicrobiia.Genus	IMCC26256.Genus	Gaiellales.Genus	X67.14.Genus	Conexibacter	Thermoleophilia.Genus	Gaiella	Clostridium.sensu.stricto.12	Clostridium.sensu.stricto.3	Clostridium.sensu.stricto.5	Clostridium.sensu.stricto.18	Clostridium.sensu.stricto.13	Clostridium.sensu.stricto.9	Acidaminobacter	Paraclostridium	Thermoactinomycetaceae.Genus	Peptostreptococcaceae.Genus	Peptostreptococcus	Geothermomicrobium	Lachnoclostridium	Cetobacterium	Brevibacillus	Ligilactobacillus	Lactobacillus	Weissella	Streptococcus	Carnobacterium	Vagococcus	Enterococcus	Staphylococcus	Bacillus	Geobacillus	Planococcaceae.Genus	Lysinibacillus	Exiguobacterium	Holophagaceae.Genus	Kapabacteriales.Genus	Candidatus.Amoebophilus	Barnesiellaceae.Genus	Flavobacterium	Chryseobacterium	Cloacibacterium	NS9.marine.group.Genus	AKYH767.Genus	Sphingobacteriales.Genus	env.OPS.17.Genus	Fluviicola	Chitinophagales.Genus	Dinghuibacter	Chitinophagaceae.Genus	Ferruginibacter	Terrimonas	Aurantisolimonas	Flavihumibacter	Haliscomenobacter	Saprospiraceae.Genus	Bacteroidia.Genus	Cytophagales.Genus	Cytophaga	Microscillaceae.Genus	Hassallia	OLB12	Runella	Fibrobacteraceae.Genus	Vermiphilaceae.Genus	Babeliaceae.Genus	BD7.11.Genus	Verrucomicrobiaceae.Genus	Pedosphaeraceae.Genus	DEV008	Chthoniobacter	Verrucomicrobiae.Genus	Brevifollis	Luteolibacter	Methanosarcina	Methanobacteriaceae.Genus	Opitutaceae.Genus	Saccharimonadales.Genus	TM7a	ZOR0006	Armatimonadota.Genus	Candidatus.Alysiosphaera	A0839.Genus	Hirschia	SWB02	Polymorphobacter	Magnetospirillum	Novosphingobium	Sphingopyxis	Sphingorhabdus	Blastomonas	Rhizobiaceae.Genus	alphaI.cluster	Alsobacter	Mesorhizobium	Mycoplana	Pseudochrobactrum	Allorhizobium.Neorhizobium.Pararhizobium.Rhizobium	Shinella	Hyphomicrobium	Pedomicrobium	Methyloligellaceae.Genus	Bauldia	Devosia	Alphaproteobacteria.Genus	Rhizobiales.Incertae.Sedis.Genus	Nordella	Xanthobacteraceae.Genus	Phreatobacter	Paracoccus	Defluviimonas	Rhodobacteraceae.Genus	Tabrizicola	Gemmobacter	Pseudorhodobacter	Phenylobacterium	Caulobacter	Bosea	Beijerinckiaceae.Genus	Pseudorhodoplanes	Bradyrhizobium	Afipia	Fodinicurvataceae.Genus	Novispirillum	Roseomonas	Rhodovarius	Rhodovastum	Rhodospirillales.Genus	Reyranella	Holosporaceae.Genus	Caedibacter	Oligoflexaceae.Genus	Candidatus.Megaira	Rickettsiaceae.Genus	Bdellovibrio	OM27.clade	X0319.6G20.Genus	Desulfobacterota.Genus	MBNT15.Genus	Sandaracinaceae.Genus	mle1.27.Genus	Haliangium	Anaeromyxobacter	Blfdi19.Genus	Pajaroellobacter	Phaselicystis	Aetherobacter	Polyangia.Genus	NB1.j.Genus	P3OB.42	SAR324.clade.Marine.group.B..Genus	Desulfobulbus	Candidatus.Berkiella	Candidatus.Competibacter	Ahniella	Stenotrophomonas	Luteimonas	Sulfurifustis	Chitinibacter	Chitinilyticum	Sutterellaceae.Genus	Neisseriaceae.Genus	Leeia	Burkholderiales.Genus	AAP99	Azospira	Dechloromonas	Candidatus.Accumulibacter	Dechlorobacter	Zoogloea	Rhizobacter	Inhella	Comamonadaceae.Genus	Curvibacter	Ideonella	Rubrivivax	Aquabacterium	Paucibacter	Nitrosomonas	Crenobacter	Chitinivorax	IS.44	SC.I.84.Genus	Sulfuritalea	A21b.Genus	Nitrosomonadaceae.Genus	Achromobacter	Cellvibrio	Shewanella	Vibrio	Aeromonas	Plesiomonas	Burkholderia.Caballeronia.Paraburkholderia	Citrobacter	Gammaproteobacteria.Genus	Pseudomonadales.Genus	Porticoccus	Pseudomonas	Diplorickettsiaceae.Genus	Coxiella	Aquicella	Candidatus.Ovatusbacter	Legionella	CCM19a.Genus	Ga0077536.Genus	Steroidobacter	Steroidobacteraceae.Genus	X.Agitococcus..lubricus.group	Acinetobacter	OM60.NOR5..clade	Gemmatimonadaceae.Genus	Vicinamibacteraceae.Genus	Subgroup.17.Genus	Chlamydiales.Genus	Neochlamydia	Parachlamydiaceae.Genus	Candidatus.Protochlamydia	Simkania	Simkaniaceae.Genus	Leptospirillum	Bryobacter	Paludibaculum.Genus	Nitrospira	SH3.11	Oikopleura	X11.24.Genus	JGI.0001001.H03	SM1A02	CL500.3	Planctomycetota.Genus	Pirellulaceae.Genus	Pir4.lineage	Planctomycetes.Genus	Pirellula	Rhodopirellula	Blastopirellula	Planctomycetales.Genus	SH.PL14	Schlesneriaceae.Genus	Schlesneria	Gemmataceae.Genus	Gemmata	Fimbriiglobus	Telmatocola	Tundrisphaera	Isosphaeraceae.Genus	OM190.Genus	vadinHA49.Genus
RTF006	0	0	0	0	4.70455400828002e-05	0	0	0	0	0	0	0	0	0	0	0	0.0127963869025216	0.000423409860745201	0.0265572073767407	0.00225818592397441	0	0	0.0274745954083553	0	0	0	0	0	0.000211704930372601	0.000870342491531803	0	0.00181125329318781	0.0010820474219044	0.000329318780579601	0	0	0.000117613850207	0.000329318780579601	0	0	0	0	0	0	0	0	0	0	0.000541023710952202	0	0	0	0	0	0.465421528039142	0	0	0	0	0	0	0	0	0	0.0015054572826496	0	0	0	0	0	0	0	0.0157367331576967	0	0	0.000541023710952202	0	0	0	0	0.00171716221302221	0	0.0123964998118178	0	0	0	0.0010114791117802	0.0014819345126082	0	0	0	0	0	0.000776251411366202	0	0	0	0	0	0	0	0	0	0	0.0013407978923598	7.05683101242002e-05	0	0	0	0	0	0	0	0.0170069627399323	0	0	0	0	0	0	0	0	0	0	0	0	0.000376364320662401	0	0	0.0015525028227324	0	0.000352841550621001	0	0	9.40910801656003e-05	0	0	0	0	0.00771546857357922	0	0	0.00265807301467821	0	0.000611592021076402	0	0.00242284531426421	0.142359804290553	0	0	9.40910801656003e-05	0.001293752352277	0	0.000588069251035002	0	0	0	0	0.000188182160331201	0	0.000940910801656003	0	0	0	0	0	0	0	0.000117613850207	0	0.000117613850207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00566898757997742	0.0278509597290177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0010820474219044	0	0.0176420775310501	0	0.00428114414753481	0	0	0	0	0	0	0	0.0014819345126082	0.000282273240496801	0	0.0988662024840045	0.0648993225442228	0	0.000493978170869402	0	0.00223466315393301	0	0.00211704930372601	0	0	0	0	0.000541023710952202	0	0	0	0	0	0	0	0	0	0	0	0.000635114791117802	9.40910801656003e-05	0	0	0	0	0	0	0	0.00616296575084682	0	0	0	0	0	0	0.000282273240496801	0	0	0.000893865261573203	0	0	0	0.000164659390289801	0	0	0.00773899134362062	0	0	0	0.0012467068121942	0	0	0
RTF007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00507702699758133	0	0.00629725666223607	0.000958751879371582	0	0	0.0133353670494411	0	0	0	0	0	0.000305057416163685	0.000152528708081843	0	0.00117665003377421	0.000326847231603948	0.000501165755126054	0	0	0	0.000849802802170266	0	0	0	0	0	0	0	0	0	0	0.000544745386006581	0	0	0	0	0	0.595842503213998	4.35796308805264e-05	0	0	0	0	0	0	0	0	0.00207003246682501	0	0	0	0	0	0	0	0.0294380406597956	8.71592617610529e-05	0	0.000239687969842895	0	0	0	0	0.000435796308805264	0	0.00801865208201686	0	0	0	0.000566535201446844	0.00126380929553527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000588325016887107	0.000196108338962369	0	0	0	0	0	8.71592617610529e-05	0	0.0264964155753601	0	0	0	0	0	0	0	0	0	0	0	0	0.000370426862484475	0	0	0.000370426862484475	0	0	0	0	0	0	0	0	0	0.00607935850783344	0	0	0.0025494084065108	0	0	0	0.000893382433050792	0.0548885450940231	0	0	0	0.000392216677924738	0	0	0	0	0	0	0	0	0.000784433355849476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00390037696380712	0.0154271893317064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000479375939685791	0	0.0146427559758569	0	0.00442333253437343	0	0	0	0	0	0	0	0	0.000806223171289739	0	0.0981631185583858	0.0926720850674395	0	0	0	0.00145991763449764	0	0.00135096855729632	0	0	0	0	0.000457586124245528	0	0	0	0	0	0	0	0	0	0	0	0.000283267600723422	0	0	0	0	0	0	0	0	0.0031377334233979	0	0	0	0	0	0	0	0	0	0.000108949077201316	0	0	0	0.000130738892641579	0	0	0.000806223171289739	0	8.71592617610529e-05	0	0.000435796308805264	0	0	0
RTF008	0	0	0	0	4.01606425702811e-05	0	0	0	0.000107095046854083	0	0.000388219544846051	0	0	0	0	0	0.0118875502008032	0.00034805890227577	0.0188755020080321	0.00317269076305221	0	6.69344042838019e-05	0.0333333333333333	0.000334672021419009	0	0	0	0	0.00072289156626506	0.000776439089692102	0	0.00337349397590361	0.00192771084337349	0.000923694779116466	0	0	0.000227576974564926	0.000763052208835341	0	0	0	0	0	0	0	0	0	0	0.000160642570281124	0	0	0	0	0	0.476706827309237	0	0	0	0	0	0	0	0	0	0.00190093708165997	0	0	0	0	0	0	0	0.00394912985274431	0	0	0.000254350736278447	0	0	0	0	0.00456492637215529	0	0.0250200803212851	0	0	0	0.000642570281124498	0.00352074966532798	0	0	0	0	0	0.00172690763052209	0	0	0	0	0	0	0	0	0	0	0.00223560910307898	6.69344042838019e-05	0	0	0	0	0	2.67737617135207e-05	0	0.0117670682730924	0	0	0	0	0	0	0	0	0	0	0	0.000736278447121821	0.000655957161981258	0	0	0.00269076305220884	0	0.000388219544846051	0	0	4.01606425702811e-05	0	0	0	0	0.0104417670682731	0	0	0.0056760374832664	0	0.00186077643908969	0	0.00265060240963855	0.177081659973226	0	0	0.000120481927710843	0.00230254350736278	0	0.000763052208835341	0	0	0	0	0.000227576974564926	0	0.00431057563587684	0	0.000642570281124498	0	0	0	0	0	0.000120481927710843	0	0.000133868808567604	0	0	0	0	0.000294511378848728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00248995983935743	0.04095046854083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00187416331994645	0	0.0291432396251673	0	0.00473895582329317	0	0	0	0	0	0	0	0	0.000107095046854083	0	0.0294109772423025	0.0396921017402945	0	0.000200803212851406	0.000147255689424364	0.00401606425702811	0	0.00164658634538153	0	0	0	8.03212851405622e-05	0.0014859437751004	0	0	0	0	0	0	0	0	0	0	0	0.000669344042838019	0.000174029451137885	4.01606425702811e-05	5.35475234270415e-05	0	0	0	0	0	0.0111378848728246	0	0	0	0	0	0	0.000508701472556894	9.37081659973226e-05	0	0.000829986613119143	0	0	0	0.000589022757697456	0	0	0.00684069611780455	0	8.03212851405622e-05	0	0.00204819277108434	0	0	0
RTF009	0	0	0	0	0	0	0	0	0	0	5.2997915415327e-05	0	0	0	0	0	0.00796735328410416	0.000123661802635763	0.0114652157015157	0.00100696039289121	0	0	0.01459209271102	0	0	0	0	0	0.000494647210543052	0.000158993746245981	0	0.0025615659117408	0.00113062219552698	0.00088329859025545	0	0	0	0.000600643041373706	0	0	0	0	0	0	0	0	0	0	0.000547645125958379	0	0	0	0	0	0.559145673603505	0	0	0	0	0	0	0	0	0	0.00166060134968025	0	0	0	0	0	0	0	0.0236547362470409	0	0	0.00035331943610218	0	0	0	0	0.00197858884217221	0	0.0112002261244391	0	0	0	0.00111295622372187	0.00107762428011165	0	0	0	0	0	0.000158993746245981	0	0	0	0	0	0	0	0	0	0	0.000600643041373706	0.000123661802635763	0	0	0	0	0	0	0	0.0183019467900929	0	0	0	0	0	0	0	0	0	0	0	0	0.000335653464297071	0	0	0.00105995830830654	0	0.000317987492491962	0	0	0	0	0	0	0	0.00812634703035014	0	0	0.00462848461293856	0	0.000123661802635763	0	0.00213758258841819	0.102833621877539	0	0	0	0.00109529025191676	0	0	0	0	0	0	0.00017665971805109	0	0.00121895205455252	0	0.000229657633466417	0	0	0	0	0	3.5331943610218e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00540578737236335	0.0224887821079038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000618309013178815	0	0.0298024944352189	0	0.00515846376709183	0	0	0	0	0	0	0	0	0	0	0.070010246263647	0.0683849768575769	0	0	7.0663887220436e-05	0.00316220895311451	0	0.000618309013178815	0	0	0	0	0.000459315266932834	0	0	0	0	0	0	0	0	0	0	0	0.000141327774440872	8.8329859025545e-05	0	5.2997915415327e-05	0	0	0	0	0	0.00517612973889694	0	0	0	0	0	0	0.000264989577076635	0	0	0.000370985407907289	0	0	0	0.000158993746245981	0	0	0.00335653464297071	0	0	0	0.000936296505670777	0	0	0
RTF010	0	0	0	0.00509550878271112	0	0	0	0	0.000614533722538024	0	0.000153633430634506	0	0	0	0	0	0.0257079940595073	0.0030470630409177	0.0279356788037077	0.00197162902647616	0	0	0.056153018896912	0	0	0	0	0	0.00453218620371793	0.000742561581400113	0	0.0228145644492241	0.0109335791468223	0.00547959235929738	0	0	0.00184360116761407	0.00435294720131101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0917447636605725	0.0149024427715471	0	0	0	0	0	0	0	0	0.000307266861269012	0.000409689148358683	0	0	0	0	0	0	0.00033287243304143	0	0	0.00235571260306243	0	0	0	0	0.00635018179955958	0	0.0687509602089415	0	0	0	0.0057868592205664	0.014467148051416	0	0	0.000179239002406924	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00430173605776617	0	0	0	0	0	0	0.00102422287089671	0	0.00317509089977979	0	0	0	0	0	0	0	0	0	0	0.00325190761509704	0.00125467301684847	0.00256055717724177	0	0	0.00358478004813848	0	0.00368720233522815	0	0	0	0	0	0	0	0.0107543401444154	0	0	0.0204076407026169	0	0.00268858503610386	0	0.00798893839299432	0.288113893583244	0	0	0.000947406155579454	0.00517232549802837	0	0.000358478004813847	0	0	0	0	0	0	0.00606852051006299	0.00181799559584166	0.0037640190505454	0	0	0	0	0	0.000281661289496594	0	0.00161315102166231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00212526245711067	0	0.00171557330875198	0.0455267066113586	0	0	0	0	0	0	0	0	0	0	0	0.0244789266144313	0	0	0.0034823577610488	0.00576125364879398	0.0128027858862088	0	0.0033287243304143	0	0	0	0	0	0	0	0	0	0	0.00798893839299432	0.00980693398883597	0	0.0011522507297588	0	0.0210989911404722	0	0.0461668459056691	0	0	0	0.00110103958621396	0.00476263634966969	0	0	0	0	0	0.000128027858862088	0	0	0	0	0	0.00112664515798638	0.000256055717724177	0	0	0	0.000358478004813847	0	0	0	0.00975572284529114	0	0	0	0	0	0	0.00163875659343473	0	0	0.00276540175142111	0	0	0	0.00186920673938649	0.00143391201925539	0	0.0334152711630051	0	0	0	0.00617094279715266	0	0	0
RTF026	0	0	0	0	0	0	0	0	0	0.000110307094952347	0	0	0	0	0	0	0.0475202965054712	0.000551535474761737	0.0873411577832686	0.00350776561948465	0.000330921284857042	0	0.0266281327214966	0	0	0	0	0	0.00039710554182845	0.00136780797740911	0	0.0108762795623014	0.00174285210024709	0.00202965054712319	0.00194140487116131	0	0.000154429932933286	0.00127956230144723	0	0	0	0	0	0	0	0	0	0	0.00399311683727497	0	0	0	0	0	0.295358277444405	0	0	0	0	0	0	0	0	0.00041916696081892	0.000728026826685492	0	0	0	0	0	0	0	0.000176491351923756	0.00196346629015178	0	0	0	0	0	0.0125750088245676	0.00427991528415108	0	0.0553962230850688	0	0	0	0.0119572890928345	0.011935227673844	0	0	0.000264737027885634	0	0	0.00311066007765619	0	0	0	0	0	0	0	0	6.61842569714084e-05	0	0.0054932933286269	0.000728026826685492	0	0	0	0	0	0	0	0.0655224144016943	0	0.000110307094952347	0	0	0	0	0	0	0	0	0	0.00041916696081892	0.00116925520649488	0	0	0.000772149664666431	0	0.000705965407695023	0	8.82456759618779e-05	0	0	0	0	0	0.0196567243205083	0	0	0.0112733851041299	0	0.00143399223438052	0	0.0028900458877515	0.117146134839393	0	0	0	0.00255912460289446	0	0.000595658312742676	0	0	0	0	0.000573596893752206	0	0.00220614189904695	0	0	0	6.61842569714084e-05	0	0	0	0.000485351217790328	0	0	0	0	0	0	0.000904518178609248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.82456759618779e-05	0	0	0.00081627250264737	0.0392031415460642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00271355453582774	0	0.0289445817154959	0	0.00344158136251324	0	0	0	0	0	0	0	0	0	0	0.00882456759618779	0.0189286974938228	0	0.000286798446876103	0.000617719731733145	0.0133250970702436	0	0.000220614189904695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000375044122837981	0	0	0	0	0	0	0	0	0.0109865866572538	0	0	0	0	0	0	0.00240469466996117	0	0	0.00178697493822803	0	0	0	0.00352982703847511	0	0	0.0356291916696082	0	0.000110307094952347	0	0.00496381927285563	0	0	0
RTF027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0330954056499447	0.000562983814215341	0.106202875238765	0.00852518347240374	0	0	0.0276465265909319	0	0	0	0	0	0.000261385342314266	0.000542877249421936	0	0.00822358500050266	0.000522770684628531	0.00182969739619986	0.00128682014677792	0	0.000422237860661506	0.00172916457223283	0	0	0	0	0	0	0	0	0	0	0.00132703327636473	0	0	0	0	0	0.376213933849402	0	0	0	0	0	0	0	0	0	0.00180959083140645	0	0	0	0	0	0	0	0.0012063938876043	0.000301598471901076	0	0	0	0	0	0.00186991052578667	0.00130692671157133	0	0.0344224389263094	0	0	0	0.0131094802453001	0.00617271539157535	0	0	0	0	0	0.000884688850909822	0	0	0	0	0	4.02131295868101e-05	0	0	0	0	0.00345832914446567	0.000241278777520861	0	0	0	0	0	0	0	0.100894742133307	0	0	0	0	0	0	0	0	0	0	0	0.000180959083140645	0.000382024731074696	0	0	0.0011862873228109	0	0.000723836332562582	0	0	0	0	0	0	0	0.0163064240474515	0	0	0.00780134713984116	0	0.000804262591736202	0	0.00193023022016688	0.0877852618880064	0	0	0	0.00162863174826581	0	0.000382024731074696	0	0	0	0	0.000301598471901076	0	0.000764049462149392	0	0	0	0	0	0	0	4.02131295868101e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00124660701719111	0.0276264200261385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00110586106363728	0	0.0378204483763949	0	0.00388056700512717	0	0	0	0	0	0	0	0	0.00012063938876043	0	0.0156429074092691	0.0192218759424952	0	0	0.000261385342314266	0.00444355081934251	0	0.000804262591736202	0	0	0	0	0.000100532823967025	0	0	0	0	0	0	0	0	0	0	0	0.000542877249421936	0.00020106564793405	0	0	0	0	0	0	0	0.00631346134512919	0	0	0	0	0	0	0.00134713984115814	0	0	0.000864582286116417	0	0	0	0.00172916457223283	0	0	0.0192419825072886	0	0.00012063938876043	0	0.00303609128380416	0	0	0
RTF028	0	0	0	0	0	0	0	0	0	0.000154159215637911	0	0	0	0	0	0	0.0191774064253561	0.000246654745020657	0.0461244373188629	0.00255904297958932	0.000462477646913733	0.000369982117530986	0.0196090522291423	0	0	0	0	0	0	0.00110994635259296	0	0.00410063513596843	0.00110994635259296	0.00200406980329284	0.000647468705679225	0	0.000123327372510329	0.000801627921317136	0	0	0	0	0	0	9.24955293827465e-05	0	0	0	0.020071529876056	0	0	0	0	0	0.526731207991614	0	0	0	0	0	0	0	0	0.000308318431275822	0.00141826478386878	0	0	0	0	0	0	0	0.000462477646913733	0	0	0	0	0	0	0.00733797866436456	0.00123327372510329	0	0.0244804834433002	0	0	0	0.00616636862551643	0.00659801442930258	0	0	0	0	0	0.00141826478386878	0	0	0	0	0	0	0	0	0	0	0.00160325584263427	0.000154159215637911	0	0	0	0	0	0	0	0.0343466732441265	0	0	0	0	0	0	0	0	0	0	0	0.000277486588148239	0.000647468705679225	0	0	0.00135660109761362	0	0.000616636862551643	0	0	0.00043164580378615	0	0	0	0	0.0235246963063452	0	0	0.00773879262502312	0	0.00215822901893075	0	0.00181907874452735	0.0729173089967318	0	0	0	0.000801627921317136	0	0	0	0	0	0	0.000123327372510329	0	0.00154159215637911	0	0.000154159215637911	0	0	0	0	0	0.000154159215637911	0	0	0	0	0	0	0.0017265832151446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000924955293827465	0.0201640254054387	0.000123327372510329	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00104828266633779	0	0.0211198125423938	6.16636862551643e-05	0.00419313066535117	0	0	0	0	0	0	0	0	0	0	0.0187765924646975	0.0538940617870136	0	0	0.00070913239193439	0.00419313066535117	0	0.00107911450946538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00117161003884812	0	0	0	0	0	0	0	0	0.00780045631127829	0	0	0	0	0	0	0.000863291607572301	0	0	0.00188074243078251	0	0	0	0.00292902509712031	0	0	0.0106678177221434	0	0.000123327372510329	0	0.00126410556823087	0	0	0
RTF029	0	0	0	0	0	0	0	0	0	0.00016215339711367	0	0	0	0	0	0	0.0255553753851143	0.000551321550186476	0.0734554888924923	0.00794551645856981	0	0	0.0346035349440571	0	0	0	0	0	0.000324306794227339	0	0	0.00921031295605643	0.00103778174152749	0.00749148694665153	0.00155667261229123	0	0.000875628344413815	0.00113507377979569	0	0	0	0	0	0	0	0	0	0	0.00359980541592346	0	0	0	0	0	0.366985568347657	0	0	0	0	0	0	0	0	0	0.00256202367439598	0	0	0	0	0	0	0	0.000389168153072807	0	0	0	0	0	0	0.00249716231555051	0.00058375222960921	0	0.04021404248419	0	0	0	0.00898329820009729	0.00781579374087887	0	0	0	0	0	0.00155667261229123	0	0	0	0	0	0	0	0	0	0	0.00288633046862332	0.00016215339711367	0	0	0	0	0	0	0	0.0923950056753689	0	0	0	0	0	0	0	0	0	0	0	0.000421598832495541	0.00142694989460029	0	0	0.00123236581806389	0	0.00227014755959137	0	0	0.000486460191341009	0	0	0	0	0.0425814820820496	0	0.000291876114804605	0.0116101832333387	0	0.00142694989460029	0	0.00340522133938706	0.10261066969353	0	0	0	0.00230257823901411	0	0.00074590562672288	0	0	0	0	0.000259445435381871	0	0.000875628344413815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000454029511918275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00330792930111886	0.0157613101994487	0	0	0	0	0	0	0	0	0	0	0	0.000713474947300146	0	0	0.000551321550186476	0	0.0250040538349278	0	0.00304848386573699	0	0	0	0	0	0	0	0	0	0	0.0178693043619264	0.0222798767634182	0	0	0.00016215339711367	0.00113507377979569	0	0.00113507377979569	0	0	0	0	9.72920382682017e-05	0	0	0	0	0	0	0	0	0	0	0	0.00308091454515972	0	0	0	0	0	0	0	0	0.00703745743473326	0	0	0	0	0	0	0.00074590562672288	0	0	0.00262688503324145	0	0	0	0.00278903843035512	0	0	0.02218258472515	0	0	0	0.003534944057078	0	0	0
RTF030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00616211843639219	0	0.0162974947062882	0.00159406152601651	0	0	0.0102781280483453	0	0	0	0	0	0	0	0	0.00192714900906474	0	0.000547215150722086	0.00021412766767386	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0169398777093098	0	0	0	0	0	0.742451999714496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014275177844924	0.000190335704598986	0	0	0	0	0	0.00109443030144417	0.00049963122457234	0	0.00449668102115106	0	0	0	0.00166543741524113	0.000904094596845186	0	0	0	0	0	0.000190335704598986	0	0	0	0	0	0	0	0	0	0	0.000594799076871833	0	0	0	0	0	0	0	0	0.0331184126002236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000166543741524113	0	0	0	0	0	0	0	0	0	0.00530560776569675	0	0	0.00123718207989341	0	0	0	0.0003568794461231	0.0200566248721182	0	0	0	0.00049963122457234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000761342818395946	0.0124907806143085	4.75839261497466e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000452047298422593	0	0.00818443529775642	0	0.00513906402417263	0	0	0	0	0	0	0	0	0.000190335704598986	0	0.0278365967976018	0.0680450143941377	0	0	0	0.00157026956294164	0	0.000166543741524113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000261711593823606	0	0	0	0	0	0	0	0	0.00126097404296829	0	0	0	0	0	0	0	0	0	0.000689966929171326	0	0	0	0	0	0	0.0038305060550546	0	0	0	0.000856510670695439	0	0	0
